Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01_AUS,6.68,6.14,6.80,7.85,8.42,8.46,8.42,8.83,8.94,8.17,7.13,7.03,7.53,7.54,7.41,7.76,7.88,7.94,7.63,5.25,7.30,6.40,4.89,4.69,4.61,4.93,5.26,5.33,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_BD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_CDA,12.28,12.99,13.83,14.39,13.88,14.42,14.74,15.55,15.93,16.24,16.60,15.28,16.00,15.93,16.31,15.33,15.49,15.57,14.95,9.29,13.01,12.89,13.51,12.42,12.73,12.47,12.65,13.21,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_CHL,0.77,0.81,1.01,1.07,1.04,1.01,1.18,1.17,1.17,1.29,1.35,1.25,1.28,1.38,1.58,1.54,1.61,1.68,1.55,1.31,1.01,1.62,1.67,1.32,1.08,1.11,1.15,1.16,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_PRC,66.35,71.00,80.94,89.56,92.61,95.36,101.24,108.91,114.59,123.95,128.50,151.63,182.25,222.34,272.80,355.79,421.02,489.71,512.34,577.07,638.74,701.97,731.04,822.00,822.31,803.83,807.61,870.85,928.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06_HKC,0.15,0.15,0.15,0.15,0.15,0.15,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07_INA,2.89,3.09,2.95,3.80,3.22,4.13,4.11,3.82,2.70,2.89,2.85,2.78,2.46,2.04,3.68,3.68,3.76,4.16,3.92,3.50,3.66,3.62,2.25,2.64,4.43,4.85,4.75,5.20,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08_JPN,110.34,109.65,98.13,99.62,98.30,101.64,98.80,104.55,93.55,94.19,106.44,102.87,107.75,110.51,112.72,112.47,116.23,120.20,118.74,87.53,109.60,107.60,107.23,110.60,110.67,105.13,104.78,104.66,104.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09_ROK,23.13,26.00,28.06,33.03,33.75,36.77,38.90,42.55,39.90,41.04,43.11,43.85,45.39,46.31,47.52,47.82,48.46,51.52,53.63,48.57,58.91,68.52,69.07,66.06,71.54,69.67,68.58,71.03,72.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_MAS,1.10,1.13,1.56,1.81,2.05,2.45,3.22,2.96,1.90,2.77,3.65,4.10,4.72,3.96,5.70,5.30,5.83,6.90,6.42,5.35,5.69,5.94,5.61,4.69,4.32,3.78,2.76,3.21,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_MEX,8.73,7.96,8.46,9.20,10.26,12.15,13.20,14.25,14.22,15.27,15.63,13.30,14.01,15.16,16.74,16.20,16.45,17.57,17.21,14.13,16.87,18.11,18.07,18.24,18.93,18.22,18.82,19.95,20.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_NZ,0.72,0.81,0.76,0.85,0.77,0.84,0.81,0.76,0.76,0.78,0.70,0.83,0.77,0.85,0.89,0.89,0.81,0.85,0.80,0.77,0.85,0.84,0.91,0.90,0.86,0.79,0.58,0.66,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_PNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_PE,0.27,0.40,0.34,0.42,0.51,0.51,0.58,0.61,0.63,0.56,0.75,0.69,0.61,0.67,0.73,0.79,0.90,0.88,1.10,0.72,0.88,0.88,0.98,1.07,1.08,1.08,1.17,1.21,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_RP,0.60,0.61,0.50,0.62,0.47,0.92,0.92,0.98,0.88,0.53,0.43,0.50,0.55,0.50,0.40,0.47,0.56,0.72,0.71,0.82,1.05,1.20,1.26,1.31,1.20,0.97,1.08,1.38,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_RUS,0.00,0.00,67.03,58.35,48.81,51.59,49.25,48.50,43.82,51.51,59.14,58.97,59.78,61.45,65.58,66.15,70.83,72.39,68.51,60.01,66.94,68.85,70.21,69.01,71.46,70.90,70.45,71.49,72.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_SIN,0.49,0.51,0.48,0.52,0.53,0.52,0.53,0.38,0.50,0.59,0.60,0.46,0.46,0.56,0.61,0.57,0.61,0.64,0.76,0.66,0.73,0.75,0.69,0.43,0.54,0.50,0.52,0.60,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_CT,9.75,10.97,10.71,11.97,11.59,11.61,12.42,16.06,16.97,15.44,16.90,17.26,18.23,18.83,19.60,18.94,20.00,20.90,19.88,15.81,19.76,20.18,20.66,22.28,23.12,21.39,21.75,22.44,23.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_THA,0.69,0.71,0.93,0.95,1.46,2.13,2.13,2.10,1.81,1.53,2.10,2.13,2.54,3.55,4.53,5.16,4.91,5.57,5.21,3.65,4.15,4.24,3.33,3.58,4.10,3.72,3.83,6.76,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_USA,89.73,79.74,84.32,88.79,91.24,95.19,95.54,98.49,98.66,97.43,101.82,90.10,91.59,93.68,99.68,94.90,98.19,98.10,91.90,59.38,80.50,86.40,88.70,86.88,88.17,78.85,78.48,81.61,86.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_VN,0.10,0.18,0.22,0.27,0.30,0.27,0.31,0.31,0.31,0.31,0.31,0.32,0.41,0.54,0.69,0.89,1.87,2.02,2.25,2.70,4.31,4.90,5.30,5.47,5.85,5.65,7.81,11.47,15.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
