Economy,Year,GDP
AUS,1990,73.87713695286618
BD,1990,2.05208203424472
CDA,1990,144.46536982276
CHL,1990,23.4531839002217
PRC,1990,512.4518333319611
HKC,1990,7.546474691442251
INA,1990,163.54534475148
JPN,1990,930.5021308558361
KOR,1990,131.671418889771
MAS,1990,45.0220233923595
MEX,1990,240.485308152353
NZ,1990,16.1654415392617
PNG,1990,1.0101678936504601
PE,1990,18.705569288609503
RP,1990,63.0890332819838
RUS,1990,489.241025199928
SIN,1990,27.8015587529894
CT,1990,49.2231369746331
THA,1990,109.256625501476
USA,1990,1626.3943182114099
VN,1990,13.9426996517081
AUS,1991,67.05621310472829
BD,1991,2.36968393923605
CDA,1991,141.45169872428298
CHL,1991,26.054358276472904
PRC,1991,560.07949574167
HKC,1991,7.97677104754142
INA,1991,184.196429270743
JPN,1991,962.3020110459539
KOR,1991,145.86134598993598
MAS,1991,52.0175454709866
MEX,1991,247.65744520185902
NZ,1991,16.0559118442742
PNG,1991,1.18092980379377
PE,1991,19.1206943377758
RP,1991,63.94847417796711
RUS,1991,464.54932688712495
SIN,1991,30.944103421427798
CT,1991,52.055518554446806
THA,1991,123.130485534221
USA,1991,1624.6335982742098
VN,1991,15.794948516719998
AUS,1992,67.3919813267953
BD,1992,2.56788140681116
CDA,1992,142.725131178058
CHL,1992,28.828199929526004
PRC,1992,639.7013130525601
HKC,1992,8.47411507181957
INA,1992,203.65311166719002
JPN,1992,970.463001681801
KOR,1992,149.91257318469198
MAS,1992,57.2439536498313
MEX,1992,251.40357479003998
NZ,1992,16.2757277182711
PNG,1992,1.2982666679393797
PE,1992,19.0212007029306
RP,1992,61.2927802508679
RUS,1992,397.045321481443
SIN,1992,31.559760183215502
CT,1992,54.295805330880306
THA,1992,129.67213146838097
USA,1992,1681.8603825094597
VN,1992,20.1605215156926
AUS,1993,71.7447450237258
BD,1993,2.45136161494037
CDA,1993,146.522842217822
CHL,1993,31.187582018489397
PRC,1993,728.4123789149229
HKC,1993,8.99959926207041
INA,1993,222.351165967587
JPN,1993,965.436781186049
KOR,1993,161.496099726527
MAS,1993,63.16010345492611
MEX,1993,251.05939406716297
NZ,1993,17.3402907001033
PNG,1993,1.40211502329633
PE,1993,20.0699553079053
RP,1993,61.36753221846811
RUS,1993,362.62728761500006
SIN,1993,35.3539156327069
CT,1993,55.9489051490329
THA,1993,134.717448642274
USA,1993,1728.1593806353999
VN,1993,21.4692029855575
AUS,1994,76.5261776372653
BD,1994,2.4755046999953096
CDA,1994,153.108261861854
CHL,1994,32.7009559522352
PRC,1994,823.485918763312
HKC,1994,9.542822829676519
INA,1994,250.29861363267003
JPN,1994,975.024209118941
KOR,1994,181.23269071314402
MAS,1994,70.8797447269444
MEX,1994,252.20293692463
NZ,1994,18.753010093335604
PNG,1994,1.34641915705477
PE,1994,22.2761558789477
RP,1994,62.8494952057593
RUS,1994,317.045922445932
SIN,1994,37.9177030236948
CT,1994,59.875220229442505
THA,1994,144.007712480827
USA,1994,1797.78414084273
VN,1994,22.972634058649398
AUS,1995,78.9761735053353
BD,1995,2.7990903718010003
CDA,1995,157.232962100808
CHL,1995,35.828092211256305
PRC,1995,913.6512643939069
HKC,1995,9.76934925665398
INA,1995,279.982021438911
JPN,1995,1001.0965550310699
KOR,1995,202.18060874128201
MAS,1995,77.07930071960422
MEX,1995,260.35387104406396
NZ,1995,18.8356607131799
PNG,1995,1.36317069017475
PE,1995,22.9317234069315
RP,1995,65.0309467851754
RUS,1995,303.9090345903
SIN,1995,41.268142802507796
CT,1995,63.37343258774221
THA,1995,157.64966616648903
USA,1995,1846.0418292040504
VN,1995,25.300228835089403
AUS,1996,79.6588891613166
BD,1996,2.8257715305399396
CDA,1996,159.77883492990702
CHL,1996,33.3039235587485
PRC,1996,1004.36196493759
HKC,1996,10.1853808013455
INA,1996,320.427453918957
JPN,1996,1030.80481815758
KOR,1996,208.494772581082
MAS,1996,89.4975302432003
MEX,1996,293.232900117523
NZ,1996,18.3702008737424
PNG,1996,1.6368965332297298
PE,1996,23.5341181852949
RP,1996,68.27927830392791
RUS,1996,292.4970393098
SIN,1996,42.839116612653505
CT,1996,67.06057399606749
THA,1996,163.14949753281
USA,1996,1915.6837815649499
VN,1996,28.005366596345603
AUS,1997,79.96087484346751
BD,1997,3.2725765467921097
CDA,1997,166.61743311059402
CHL,1997,35.12443924807991
PRC,1997,1097.0723001626
HKC,1997,10.7048016831073
INA,1997,350.892670965075
JPN,1997,1041.0787610099599
KOR,1997,220.301418590038
MAS,1997,97.90525688281778
MEX,1997,313.349549817531
NZ,1997,18.3648187553043
PNG,1997,1.61911852526725
PE,1997,25.134995586158897
RP,1997,70.10634014163671
RUS,1997,296.591751591428
SIN,1997,44.3688087084248
CT,1997,71.49887791890289
THA,1997,163.462438372156
USA,1997,2000.87838377383
VN,1997,32.8949907865073
AUS,1998,84.7008214309713
BD,1998,2.96467485616606
CDA,1998,173.670405569286
CHL,1998,35.793709038094306
PRC,1998,1183.05659145952
HKC,1998,10.0750652416059
INA,1998,284.383772177133
JPN,1998,1006.40771148464
KOR,1998,216.01122291694801
MAS,1998,91.9863498408731
MEX,1998,328.03314230856296
NZ,1998,17.901694445355897
PNG,1998,1.5683517633110098
PE,1998,24.2358568633543
RP,1998,73.43149862207841
RUS,1998,280.87250257303197
SIN,1998,44.444691319163596
CT,1998,71.52965792617239
THA,1998,154.66472830790903
USA,1998,2049.89043261558
VN,1998,36.1902810461587
AUS,1999,85.32063300180161
BD,1999,3.02891765598127
CDA,1999,190.166742248583
CHL,1999,35.99172124044561
PRC,1999,1273.7672920031998
HKC,1999,10.327608912944001
INA,1999,298.091856041902
JPN,1999,985.0635162714731
KOR,1999,242.34363160464798
MAS,1999,104.93690818218799
MEX,1999,323.203327934097
NZ,1999,18.6051482783225
PNG,1999,1.4222187872382197
PE,1999,24.281429917625
RP,1999,75.73137069623951
RUS,1999,298.848103124916
SIN,1999,47.326785120247
CT,1999,80.21921602292709
THA,1999,167.80791729553798
USA,1999,2103.6268835186297
VN,1999,39.1266302371153
AUS,2000,85.8286319817894
BD,2000,3.5329142255989896
CDA,2000,199.032061154708
CHL,2000,39.241578115873594
PRC,2000,1381.92934976571
HKC,2000,11.1190692173946
INA,2000,272.631484712495
JPN,2000,1016.3592659836901
KOR,2000,272.40825285270404
MAS,2000,113.96480863182602
MEX,2000,333.9485219899
NZ,2000,19.0813787037688
PNG,2000,1.2059526236218299
PE,2000,25.8553339820709
RP,2000,82.4418153406258
RUS,2000,328.733113114991
SIN,2000,58.4041720529191
CT,2000,90.3263552184029
THA,2000,176.54821225888801
USA,2000,2142.76626949387
VN,2000,43.5593862584198
AUS,2001,83.0299421339633
BD,2001,3.71549547839494
CDA,2001,190.51645553806898
CHL,2001,42.1031202098404
PRC,2001,1497.1810213983701
HKC,2001,9.87739628240685
INA,2001,383.50660226430097
JPN,2001,961.4802041701649
KOR,2001,269.988981305354
MAS,2001,108.886541821933
MEX,2001,316.20352258499
NZ,2001,19.3430067619734
PNG,2001,1.1819635363415
PE,2001,26.6421587418356
RP,2001,85.5192191067201
RUS,2001,345.498670277874
SIN,2001,52.268467796158
CT,2001,86.4986344195179
THA,2001,179.066302638663
USA,2001,1993.15759557851
VN,2001,49.2980765044689
AUS,2002,82.87064999929468
BD,2002,3.8491941995835197
CDA,2002,193.07376123722602
CHL,2002,43.5381052159047
PRC,2002,1633.8833196125
HKC,2002,8.73616446005431
INA,2002,416.38237311575597
JPN,2002,945.853430417416
KOR,2002,284.87174038531094
MAS,2002,114.40452251693401
MEX,2002,302.344732633065
NZ,2002,20.730898367783404
PNG,2002,1.05000352664371
PE,2002,27.946610477850495
RP,2002,88.7291018112316
RUS,2002,361.73707982617293
SIN,2002,57.4324685746593
CT,2002,98.7816193186238
THA,2002,194.698738261402
USA,2002,1958.3947359451001
VN,2002,54.5399482727147
AUS,2003,87.85662461041849
BD,2003,3.8679335440820997
CDA,2003,187.34612224500205
CHL,2003,43.898433099108104
PRC,2003,1797.85336348104
HKC,2003,7.92371569119865
INA,2003,385.76158182889696
JPN,2003,970.7304972737642
KOR,2003,288.90943253534493
MAS,2003,123.850197975945
MEX,2003,295.019362417427
NZ,2003,20.5149431475797
PNG,2003,1.1197150833151701
PE,2003,28.922157768079497
RP,2003,92.9512685343004
RUS,2003,367.03925461004604
SIN,2003,60.10489706806411
CT,2003,113.75733616208099
THA,2003,216.37560191032597
USA,2003,1995.0510726642399
VN,2003,57.93370262647961
AUS,2004,91.58887887112749
BD,2004,3.37260440000462
CDA,2004,190.05645670833502
CHL,2004,44.080689209117
PRC,2004,1979.63833451048
HKC,2004,8.3127847467526
INA,2004,402.48680975118003
JPN,2004,1002.56935354536
KOR,2004,326.598619976551
MAS,2004,134.237681550035
MEX,2004,307.508597232057
NZ,2004,21.1077511937472
PNG,2004,1.18075493357467
PE,2004,32.2764183389225
RP,2004,96.3826311061669
RUS,2004,416.721449275289
SIN,2004,72.2808772036493
CT,2004,130.747722407034
THA,2004,228.67700679166296
USA,2004,2049.70764045044
VN,2004,62.3300449116374
AUS,2005,89.7119019581684
BD,2005,3.13602459611358
CDA,2005,186.99879178058802
CHL,2005,41.758569657173
PRC,2005,2213.43054503698
HKC,2005,8.3628314435538
INA,2005,415.420400118107
JPN,2005,1034.16509904637
KOR,2005,336.705640522392
MAS,2005,128.230289408628
MEX,2005,296.99744900011
NZ,2005,21.762367627183203
PNG,2005,0.43757875625441595
PE,2005,34.679981659672094
RP,2005,101.430743675049
RUS,2005,456.9036420018189
SIN,2005,77.4781398024563
CT,2005,148.969612046759
THA,2005,239.78084397424303
USA,2005,2091.59672408057
VN,2005,62.043492172763905
AUS,2006,88.21044637912281
BD,2006,2.81001459860113
CDA,2006,183.50701710427902
CHL,2006,40.036347656855995
PRC,2006,2522.82952514382
HKC,2006,8.41606408987049
INA,2006,440.35236640297103
JPN,2006,1047.3497011608001
KOR,2006,348.089219483695
MAS,2006,135.472388848459
MEX,2006,328.76652052762097
NZ,2006,20.4961391047518
PNG,2006,0.46125152173834993
PE,2006,37.1120723324608
RP,2006,104.83032446695701
RUS,2006,482.105688046303
SIN,2006,82.899521521682
CT,2006,167.440703190991
THA,2006,256.281710650897
USA,2006,2151.48389455908
VN,2006,68.3384578386695
AUS,2007,85.9873615467146
BD,2007,2.76574424622885
CDA,2007,185.606911980582
CHL,2007,38.963048524009494
PRC,2007,2875.73825687173
HKC,2007,6.654899716058659
INA,2007,459.974342639754
JPN,2007,1087.4397477277698
KOR,2007,372.679443593007
MAS,2007,136.464627922447
MEX,2007,321.38048375932794
NZ,2007,19.5464538175597
PNG,2007,0.512517256283659
PE,2007,40.385501410495
RP,2007,107.61718795991601
RUS,2007,517.0435629394229
SIN,2007,81.009199926607
CT,2007,198.09571989958098
THA,2007,273.87111503657104
USA,2007,2156.14883121129
VN,2007,73.2094759616129
AUS,2008,88.3140313382589
BD,2008,3.5811950972523703
CDA,2008,167.493658370634
CHL,2008,37.6025790180108
PRC,2008,3127.66855865873
HKC,2008,6.396303912426
INA,2008,501.44296429955705
JPN,2008,1043.98900980153
KOR,2008,388.29407815242604
MAS,2008,134.504846382045
MEX,2008,323.44966248812494
NZ,2008,19.479053981577596
PNG,2008,0.533286198795762
PE,2008,43.480353809853305
RP,2008,112.394556618882
RUS,2008,537.398849331698
SIN,2008,71.30957098983431
CT,2008,209.90657436557902
THA,2008,278.25155224116804
USA,2008,2064.4699654626297
VN,2008,74.15831113436809
AUS,2009,82.6278948323899
BD,2009,3.5851374603483097
CDA,2009,154.417734509219
CHL,2009,37.31586369648381
PRC,2009,3365.9304562439306
HKC,2009,5.85144700197026
INA,2009,497.137139687579
JPN,2009,882.2790021713408
KOR,2009,394.87933159711406
MAS,2009,128.366902327257
MEX,2009,291.927183923692
NZ,2009,16.8889476954885
PNG,2009,0.587481062028277
PE,2009,41.250104161492494
RP,2009,105.976930776882
RUS,2009,427.95442702018505
SIN,2009,70.3127692358651
CT,2009,206.99657633766802
THA,2009,266.457822693444
USA,2009,1926.0330615191601
VN,2009,76.98918700670579
AUS,2010,79.837677231719
BD,2010,3.92503773725906
CDA,2010,158.54256378612402
CHL,2010,37.8686334486247
PRC,2010,3725.88922322214
HKC,2010,6.180332182802231
INA,2010,441.58263861530105
JPN,2010,1000.25301212438
KOR,2010,448.778908784798
MAS,2010,135.775205560501
MEX,2010,316.33018958028197
NZ,2010,17.255999927335896
PNG,2010,0.609094758665422
PE,2010,45.457055311692805
RP,2010,115.054726198815
RUS,2010,444.351814316005
SIN,2010,82.5139747352038
CT,2010,262.286955549186
THA,2010,300.592770503395
USA,2010,2009.2934166573298
VN,2010,57.9612760706793
AUS,2011,75.2687830736188
BD,2011,4.48980492911296
CDA,2011,162.685384479901
CHL,2011,41.074286254700795
PRC,2011,4140.10282793263
HKC,2011,5.981330138908479
INA,2011,462.918251486268
JPN,2011,943.1178379141791
KOR,2011,476.629391556715
MAS,2011,142.27016064473798
MEX,2011,323.48392227034003
NZ,2011,17.8131442362672
PNG,2011,0.633133238060826
PE,2011,46.888358073799495
RP,2011,117.30542360441599
RUS,2011,418.659123151817
SIN,2011,82.65311557080499
CT,2011,292.35710520544797
THA,2011,284.230392135912
USA,2011,2043.7931071331004
VN,2011,63.52005926377729
AUS,2012,74.7980138239552
BD,2012,4.58269889669727
CDA,2012,166.867679736377
CHL,2012,42.449341818255796
PRC,2012,4390.82359627799
HKC,2012,5.780716970739291
INA,2012,483.84244134721797
JPN,2012,960.421476639141
KOR,2012,482.25822997492105
MAS,2012,148.88596574898597
MEX,2012,357.0062950518641
NZ,2012,17.6684385224691
PNG,2012,0.6513685154371689
PE,2012,50.007697890717296
RP,2012,121.962336322396
RUS,2012,442.488743289891
SIN,2012,84.27742282597349
CT,2012,312.228087826286
THA,2012,294.100962496703
USA,2012,2072.28412692732
VN,2012,66.5032167872712
AUS,2013,72.01441342815711
BD,2013,4.45130699635087
CDA,2013,163.687479387167
CHL,2013,45.4338127706668
PRC,2013,4603.223055561701
HKC,2013,5.59542658246476
INA,2013,500.677001948318
JPN,2013,964.9729959757469
KOR,2013,497.460410974385
MAS,2013,153.870546000801
MEX,2013,350.442977630742
NZ,2013,17.497499553544
PNG,2013,0.6692223504906529
PE,2013,51.7720380519097
RP,2013,129.674969024571
RUS,2013,432.201057958241
SIN,2013,81.5039392836348
CT,2013,323.69413689972805
THA,2013,297.93595847213396
USA,2013,2102.3719200771297
VN,2013,70.3754076172119
AUS,2014,71.155567254179
BD,2014,4.24932381452256
CDA,2014,165.508647324416
CHL,2014,47.0823910774651
PRC,2014,4912.4431942807805
HKC,2014,5.03065565308634
INA,2014,526.906483307156
JPN,2014,983.292028957974
KOR,2014,500.436976786794
MAS,2014,163.350126808187
MEX,2014,361.80328556096805
NZ,2014,19.6328501607025
PNG,2014,0.662628900240355
PE,2014,49.889966386696095
RP,2014,138.953554313214
RUS,2014,441.179871229112
SIN,2014,86.4179676477996
CT,2014,358.30601594862
THA,2014,300.74339014692197
USA,2014,2123.3228014290303
VN,2014,73.7117070059362
AUS,2015,71.93882949460222
BD,2015,3.8062771844596703
CDA,2015,176.15997457621498
CHL,2015,49.623703502254095
PRC,2015,5080.015545198769
HKC,2015,4.65032149772767
INA,2015,550.256333756139
JPN,2015,1049.8980996256998
KOR,2015,506.848466789317
MAS,2015,167.30954561602502
MEX,2015,402.89132889953197
NZ,2015,20.750575350080698
PNG,2015,0.605780163591363
PE,2015,50.879005269605905
RP,2015,143.293882007493
RUS,2015,468.625683491953
SIN,2015,89.360031609519
CT,2015,355.34056923914903
THA,2015,308.132958121022
USA,2015,2180.0423045342595
VN,2015,81.71357819899389
AUS,2016,71.4332897321476
BD,2016,2.92836450798068
CDA,2016,178.110240570995
CHL,2016,47.487130751672396
PRC,2016,5320.81039319777
HKC,2016,4.59729425403017
INA,2016,565.2051967884801
JPN,2016,1049.2863796024399
KOR,2016,515.845432147172
MAS,2016,170.863547646505
MEX,2016,410.599755423484
NZ,2016,19.0158288548207
PNG,2016,0.685222567345153
PE,2016,51.187274839292805
RP,2016,150.323256093993
RUS,2016,452.572500171795
SIN,2016,89.5910654504567
CT,2016,370.22696519463204
THA,2016,316.613714167368
USA,2016,2120.20924051831
VN,2016,90.40594710744502
AUS,2017,69.71573667241789
BD,2017,3.27733294785594
CDA,2017,183.41537155807302
CHL,2017,45.5538547863518
PRC,2017,5748.476430146559
HKC,2017,4.541180022718001
INA,2017,583.4563541262089
JPN,2017,1072.21021966882
KOR,2017,547.337847935992
MAS,2017,181.166524804306
MEX,2017,426.30523303747896
NZ,2017,19.6107316043342
PNG,2017,0.714583086584352
PE,2017,51.00902926061371
RP,2017,158.64699438076502
RUS,2017,467.875664318225
SIN,2017,99.5337489255656
CT,2017,402.329437380698
THA,2017,328.65919150709897
USA,2017,2173.31953535193
VN,2017,103.78091718156301
AUS,2018,71.5374280993966
BD,2018,3.6437576520279498
CDA,2018,186.894714855781
CHL,2018,47.9894963966351
PRC,2018,6149.26667688674
HKC,2018,4.45350980231569
INA,2018,604.5032408445389
JPN,2018,1080.6641241453399
KOR,2018,554.9295308677749
MAS,2018,187.218343305812
MEX,2018,437.01472993299205
NZ,2018,20.1546491719537
PNG,2018,0.7087179726978919
PE,2018,52.9122626587174
RP,2018,165.075930994092
RUS,2018,481.908940844501
SIN,2018,113.24947591411099
CT,2018,429.82483037002305
THA,2018,337.17433427188496
USA,2018,2236.93961206694
VN,2018,115.943738676738
