Economy,Year,Population
AUS,2019,25203.2
BD,2019,433.296
CDA,2019,37411.038
CHL,2019,18952.035
PRC,2019,1433783.69199999
HKC,2019,7436.15699999999
INA,2019,270625.567
JPN,2019,126860.299
KOR,2019,51225.321
MAS,2019,31949.789
MEX,2019,127575.529
NZ,2019,4783.062
PNG,2019,8776.119
PE,2019,32510.462
RP,2019,108116.622
RUS,2019,145872.26
SIN,2019,5804.343
CT,2019,23773.881
THA,2019,69625.5809999999
USA,2019,329064.917
VN,2019,96462.108
AUS,2020,25499.881
BD,2020,437.483
CDA,2020,37742.157
CHL,2020,19116.209
PRC,2020,1439323.774
HKC,2020,7496.988
INA,2020,273523.621
JPN,2020,126476.458
KOR,2020,51269.183
MAS,2020,32365.998
MEX,2020,128932.753
NZ,2020,4822.233
PNG,2020,8947.027
PE,2020,32971.846
RP,2020,109581.085
RUS,2020,145934.46
SIN,2020,5850.343
CT,2020,23816.775
THA,2020,69799.978
USA,2020,331002.647
VN,2020,97338.583
AUS,2021,25788.217
BD,2021,441.532
CDA,2021,38067.913
CHL,2021,19212.362
PRC,2021,1444216.102
HKC,2021,7552.8
INA,2021,276361.788
JPN,2021,126050.796
KOR,2021,51305.184
MAS,2021,32776.195
MEX,2021,130262.22
NZ,2021,4860.642
PNG,2021,9119.005
PE,2021,33359.416
RP,2021,111046.91
RUS,2021,145912.022
SIN,2021,5896.684
CT,2021,23855.0079999999
THA,2021,69950.844
USA,2021,332915.074
VN,2021,98168.829
AUS,2022,26068.793
BD,2022,445.429
CDA,2022,38388.416
CHL,2022,19250.192
PRC,2022,1448471.404
HKC,2022,7604.306
INA,2022,279134.505
JPN,2022,125584.839
KOR,2022,51329.905
MAS,2022,33181.079
MEX,2022,131562.775
NZ,2022,4898.201
PNG,2022,9292.172
PE,2022,33684.218
RP,2022,112508.991
RUS,2022,145805.944
SIN,2022,5943.55099999999
CT,2022,23888.6
THA,2022,70078.198
USA,2022,334805.268
VN,2022,98953.535
AUS,2023,26343.073
BD,2023,449.169
CDA,2023,38704.479
CHL,2023,19249.347
PRC,2023,1452127.674
HKC,2023,7653.424
INA,2023,281844.348
JPN,2023,125081.316
KOR,2023,51343.973
MAS,2023,33579.264
MEX,2023,132833.768
NZ,2023,4934.976
PNG,2023,9466.431
PE,2023,33966.046
RP,2023,113964.103
RUS,2023,145628.574
SIN,2023,5990.29199999999
CT,2023,23917.88
THA,2023,70182.829
USA,2023,336679.231
VN,2023,99698.631
AUS,2024,26612.912
BD,2024,452.767
CDA,2024,39017.093
CHL,2024,19238.997
PRC,2024,1455254.862
HKC,2024,7703.193
INA,2024,284495.157
JPN,2024,124543.923
KOR,2024,51347.169
MAS,2024,33969.292
MEX,2024,134074.379
NZ,2024,4971.047
PNG,2024,9641.706
PE,2024,34236.195
RP,2024,115406.85
RUS,2024,145399.122
SIN,2024,6035.675
CT,2024,23943.319
THA,2024,70266.064
USA,2024,338542.562
VN,2024,100414.087
AUS,2025,26879.753
BD,2025,456.182
CDA,2025,39326.964
CHL,2025,19240.995
PRC,2025,1457908.248
HKC,2025,7755.536
INA,2025,287089.641
JPN,2025,123975.981
KOR,2025,51339.378
MAS,2025,34349.933
MEX,2025,135284.064
NZ,2025,5006.449
PNG,2025,9817.917
PE,2025,34517.501
RP,2025,116833.055
RUS,2025,145132.732
SIN,2025,6078.76
CT,2025,23965.154
THA,2025,70328.932
USA,2025,340399.604
VN,2025,101106.833
AUS,2026,27144.224
BD,2026,459.465
CDA,2026,39634.342
CHL,2026,19260.477
PRC,2026,1460092.251
HKC,2026,7811.205
INA,2026,289628.16
JPN,2026,123379.107
KOR,2026,51321.217
MAS,2026,34720.334
MEX,2026,136462.077
NZ,2026,5041.237
PNG,2026,9994.969
PE,2026,34814.66
RP,2026,118241.483
RUS,2026,144834.096
SIN,2026,6119.58599999999
CT,2026,23983.359
THA,2026,70371.639
USA,2026,342251.975
VN,2026,101778.646
AUS,2027,27406.327
BD,2027,462.584
CDA,2027,39939.039
CHL,2027,19292.754
PRC,2027,1461797.638
HKC,2027,7868.72
INA,2027,292109.442
JPN,2027,122754.999
KOR,2027,51293.519
MAS,2027,35080.109
MEX,2027,137608.574
NZ,2027,5075.413
PNG,2027,10172.751
PE,2027,35119.951
RP,2027,119632.644
RUS,2027,144502.582
SIN,2027,6158.533
CT,2027,23997.588
THA,2027,70394.102
USA,2027,344100.699
VN,2027,102425.785
AUS,2028,27666.064
BD,2028,465.548
CDA,2028,40240.809
CHL,2028,19337.99
PRC,2028,1463052.846
HKC,2028,7925.075
INA,2028,294532.571
JPN,2028,122107.379
KOR,2028,51256.2709999999
MAS,2028,35429.092
MEX,2028,138725.066
NZ,2028,5108.863
PNG,2028,10351.151
PE,2028,35429.212
RP,2028,121006.009
RUS,2028,144142.094
SIN,2028,6195.443
CT,2028,24007.365
THA,2028,70396.854
USA,2028,345947.847
VN,2028,103043.295
AUS,2029,27923.172
BD,2029,468.352
CDA,2029,40539.186
CHL,2029,19393.834
PRC,2029,1463891.336
HKC,2029,7976.056
INA,2029,296896.014
JPN,2029,121440.546
KOR,2029,51209.252
MAS,2029,35767.395
MEX,2029,139813.7
NZ,2029,5141.412
PNG,2029,10530.056
PE,2029,35734.664
RP,2029,122361.316
RUS,2029,143755.891
SIN,2029,6230.132
CT,2029,24012.1139999999
THA,2029,70380.496
USA,2029,347795.041
VN,2029,103624.127
AUS,2030,28177.48
BD,2030,470.987
CDA,2030,40833.733
CHL,2030,19458.098
PRC,2030,1464340.15
HKC,2030,8018.674
INA,2030,299198.43
JPN,2030,120758.056
KOR,2030,51152.05
MAS,2030,36095.052
MEX,2030,140875.763
NZ,2030,5172.96099999999
PNG,2030,10709.351
PE,2030,36030.592
RP,2030,123697.926
RUS,2030,143347.514
SIN,2030,6262.465
CT,2030,24011.257
THA,2030,70345.543
USA,2030,349641.876
VN,2030,104163.523
AUS,2031,28429.245
BD,2031,473.462
CDA,2031,41124.507
CHL,2031,19532.745
PRC,2031,1464417.502
HKC,2031,8051.863
INA,2031,301439.289
JPN,2031,120062.518
KOR,2031,51084.9109999999
MAS,2031,36411.999
MEX,2031,141911.813
NZ,2031,5203.483
PNG,2031,10888.951
PE,2031,36316.896
RP,2031,125015.254
RUS,2031,142920.743
SIN,2031,6292.363
CT,2031,24004.5979999999
THA,2031,70292.293
USA,2031,351490.178
VN,2031,104660.42
AUS,2032,28678.759
BD,2032,475.784
CDA,2032,41411.4
CHL,2032,19618.42
PRC,2032,1464130.42199999
HKC,2032,8076.552
INA,2032,303618.026
JPN,2032,119355.235
KOR,2032,51007.254
MAS,2032,36717.906
MEX,2032,142920.645
NZ,2032,5232.992
PNG,2032,11068.738
PE,2032,36596.066
RP,2032,126311.55
RUS,2032,142480.339
SIN,2032,6319.769
CT,2032,23991.857
THA,2032,70220.9
USA,2032,353335.452
VN,2032,105117.644
AUS,2033,28925.692
BD,2033,477.936
CDA,2033,41693.455
CHL,2033,19709.544
PRC,2033,1463480.846
HKC,2033,8094.378
INA,2033,305733.068
JPN,2033,118636.758
KOR,2033,50916.671
MAS,2033,37012.453
MEX,2033,143899.675
NZ,2033,5261.491
PNG,2033,11248.502
PE,2033,36867.743
RP,2033,127583.581
RUS,2033,142031.804
SIN,2033,6344.626
CT,2033,23972.199
THA,2033,70131.526
USA,2033,355162.92
VN,2033,105539.068
AUS,2034,29169.6
BD,2034,479.927
CDA,2034,41969.503
CHL,2034,19798.464
PRC,2034,1462465.124
HKC,2034,8107.887
INA,2034,307782.577
JPN,2034,117906.953
KOR,2034,50810.026
MAS,2034,37295.26
MEX,2034,144845.374
NZ,2034,5288.96
PNG,2034,11427.99
PE,2034,37131.741
RP,2034,128827.331
RUS,2034,141581.092
SIN,2034,6366.868
CT,2034,23944.616
THA,2034,70024.233
USA,2034,356952.972
VN,2034,105930.352
AUS,2035,29410.247
BD,2035,481.782
CDA,2035,42238.708
CHL,2035,19879.426
PRC,2035,1461083.03
HKC,2035,8118.968
INA,2035,309764.945
JPN,2035,117166.138
KOR,2035,50685.005
MAS,2035,37566.151
MEX,2035,145755.088
NZ,2035,5315.419
PNG,2035,11606.998
PE,2035,37387.959
RP,2035,130039.796
RUS,2035,141133.253
SIN,2035,6386.454
CT,2035,23908.35
THA,2035,69899.112
USA,2035,358690.997
VN,2035,106296.112
AUS,2036,29647.564
BD,2036,483.482
CDA,2036,42500.814
CHL,2036,19950.364
PRC,2036,1459341.17199999
HKC,2036,8128.106
INA,2036,311679.189
JPN,2036,116415.51
KOR,2036,50540.727
MAS,2036,37825.115
MEX,2036,146627.857
NZ,2036,5340.85
PNG,2036,11785.3939999999
PE,2036,37636.011
RP,2036,131219.343
RUS,2036,140691.316
SIN,2036,6403.394
CT,2036,23863.196
THA,2036,69756.445
USA,2036,360371.86
VN,2036,106637.622
AUS,2037,29881.87
BD,2037,485.029
CDA,2037,42756.083
CHL,2037,20012.198
PRC,2037,1457252.173
HKC,2037,8134.87699999999
INA,2037,313524.572
JPN,2037,115657.089
KOR,2037,50377.613
MAS,2037,38072.539
MEX,2037,147464.087
NZ,2037,5365.265
PNG,2037,11963.133
PE,2037,37875.782
RP,2037,132365.993
RUS,2037,140257.453
SIN,2037,6417.695
CT,2037,23809.182
THA,2037,69596.352
USA,2037,361997.62
VN,2037,106955.382
AUS,2038,30113.684
BD,2038,486.435
CDA,2038,43004.972
CHL,2038,20065.862
PRC,2038,1454828.444
HKC,2038,8139.274
INA,2038,315300.098
JPN,2038,114892.928
KOR,2038,50196.3
MAS,2038,38309.224
MEX,2038,148264.124
NZ,2038,5388.73
PNG,2038,12140.216
PE,2038,38107.859
RP,2038,133480.504
RUS,2038,139834.566
SIN,2038,6429.411
CT,2038,23746.175
THA,2038,69418.5279999999
USA,2038,363569.997
VN,2038,107252.235
AUS,2039,30343.71
BD,2039,487.69
CDA,2039,43248.162
CHL,2039,20113.506
PRC,2039,1452084.26599999
HKC,2039,8141.104
INA,2039,317004.821
JPN,2039,114125.389
KOR,2039,49998.017
MAS,2039,38536.268
MEX,2039,149028.879
NZ,2039,5411.29
PNG,2039,12316.705
PE,2039,38333.101
RP,2039,134564.430999999
RUS,2039,139425.187
SIN,2039,6438.647
CT,2039,23674.177
THA,2039,69222.586
USA,2039,365093.536
VN,2039,107531.321
AUS,2040,30572.49
BD,2040,488.817
CDA,2040,43486.273
CHL,2040,20156.641
PRC,2040,1449031.42
HKC,2040,8140.298
INA,2040,318637.86
JPN,2040,113356.481
KOR,2040,49783.741
MAS,2040,38754.576
MEX,2040,149759.03
NZ,2040,5433.0
PNG,2040,12492.601
PE,2040,38552.118
RP,2040,135618.864
RUS,2040,139031.166
SIN,2040,6445.489
CT,2040,23593.256
THA,2040,69008.295
USA,2040,366572.15
VN,2040,107795.035
AUS,2041,30800.208
BD,2041,489.799
CDA,2041,43719.526
CHL,2041,20195.132
PRC,2041,1445680.248
HKC,2041,8137.076
INA,2041,320198.985
JPN,2041,112587.239
KOR,2041,49553.5359999999
MAS,2041,38964.533
MEX,2041,150454.446
NZ,2041,5453.896
PNG,2041,12667.861
PE,2041,38765.025
RP,2041,136643.591
RUS,2041,138653.905
SIN,2041,6450.003
CT,2041,23503.4829999999
THA,2041,68775.781
USA,2041,368006.425
VN,2041,108044.733
AUS,2042,31026.902
BD,2042,490.658
CDA,2042,43948.081
CHL,2042,20228.161
PRC,2042,1442035.132
HKC,2042,8131.813
INA,2042,321687.66
JPN,2042,111818.498
KOR,2042,49307.319
MAS,2042,39166.389
MEX,2042,151114.754
NZ,2042,5473.98699999999
PNG,2042,12842.389
PE,2042,38971.595
RP,2042,137637.9
RUS,2042,138293.612
SIN,2042,6452.27
CT,2042,23405.196
THA,2042,68525.507
USA,2042,369396.555
VN,2042,108280.678
AUS,2043,31252.712
BD,2043,491.373
CDA,2043,44172.494
CHL,2043,20255.949
PRC,2043,1438094.71199999
HKC,2043,8124.69199999999
INA,2043,323102.546
JPN,2043,111051.701
KOR,2043,49045.767
MAS,2043,39360.772
MEX,2043,151740.131999999
NZ,2043,5493.293
PNG,2043,13016.12
PE,2043,39171.666
RP,2043,138601.775999999
RUS,2043,137949.04
SIN,2043,6452.433
CT,2043,23299.259
THA,2043,68257.808
USA,2043,370746.305
VN,2043,108502.624
AUS,2044,31477.766
BD,2044,491.954
CDA,2044,44393.406
CHL,2044,20278.708
PRC,2044,1433854.12
HKC,2044,8115.96099999999
INA,2044,324442.07
JPN,2044,110288.3
KOR,2044,48769.677
MAS,2044,39548.357
MEX,2044,152330.831
NZ,2044,5511.82
PNG,2044,13188.99
PE,2044,39364.97
RP,2044,139535.238
RUS,2044,137618.025999999
SIN,2044,6450.679
CT,2044,23186.81
THA,2044,67973.162
USA,2044,372060.394
VN,2044,108709.692
AUS,2045,31702.144
BD,2045,492.384
CDA,2045,44611.362
CHL,2045,20296.684
PRC,2045,1429312.245
HKC,2045,8105.793
INA,2045,325705.345
JPN,2045,109529.352
KOR,2045,48479.728
MAS,2045,39729.694
MEX,2045,152887.033
NZ,2045,5529.569
PNG,2045,13360.906
PE,2045,39551.257
RP,2045,140438.213
RUS,2045,137298.524
SIN,2045,6447.175
CT,2045,23068.795
THA,2045,67672.072
USA,2045,373343.357
VN,2045,108901.041
AUS,2046,31925.961
BD,2046,492.676
CDA,2046,44826.844
CHL,2046,20309.993
PRC,2046,1424476.521
HKC,2046,8094.354
INA,2046,326892.322
JPN,2046,108775.261
KOR,2046,48176.623
MAS,2046,39905.065
MEX,2046,153408.998
NZ,2046,5546.57199999999
PNG,2046,13531.839
PE,2046,39730.464
RP,2046,141310.851
RUS,2046,136989.919
SIN,2046,6442.025
CT,2046,22945.726
THA,2046,67355.05
USA,2046,374598.068
VN,2046,109076.751
AUS,2047,32149.253
BD,2047,492.827
CDA,2047,45040.171
CHL,2047,20318.734
PRC,2047,1419358.625
HKC,2047,8081.851
INA,2047,328003.996
JPN,2047,108025.99
KOR,2047,47860.608
MAS,2047,40074.627
MEX,2047,153896.747
NZ,2047,5562.882
PNG,2047,13701.743
PE,2047,39902.535
RP,2047,142152.969
RUS,2047,136691.346999999
SIN,2047,6435.31699999999
CT,2047,22817.979
THA,2047,67022.652
USA,2047,375827.634
VN,2047,109236.674
AUS,2048,32371.843
BD,2048,492.83
CDA,2048,45251.593
CHL,2048,20323.082
PRC,2048,1413967.251
HKC,2048,8068.58699999999
INA,2048,329041.879
JPN,2048,107281.347
KOR,2048,47531.236
MAS,2048,40238.61
MEX,2048,154349.943
NZ,2048,5578.512
PNG,2048,13870.481
PE,2048,40067.277
RP,2048,142963.816999999
RUS,2048,136399.881999999
SIN,2048,6427.251
CT,2048,22686.171
THA,2048,66675.564
USA,2048,377037.244
VN,2048,109379.296
AUS,2049,32593.518
BD,2049,492.692
CDA,2049,45461.265
CHL,2049,20323.217
PRC,2049,1408312.31
HKC,2049,8054.884
INA,2049,330008.087
JPN,2049,106540.925
KOR,2049,47187.764
MAS,2049,40397.165
MEX,2049,154768.043
NZ,2049,5593.464
PNG,2049,14037.961
PE,2049,40224.491
RP,2049,143742.427
RUS,2049,136111.929
SIN,2049,6417.931
CT,2049,22550.98
THA,2049,66314.572
USA,2049,378232.679
VN,2049,109502.617
AUS,2050,32814.106
BD,2050,492.391
CDA,2050,45669.453
CHL,2050,20319.303
PRC,2050,1402405.167
HKC,2050,8041.04199999999
INA,2050,330904.672
JPN,2050,105804.023
KOR,2050,46829.924
MAS,2050,40550.371
MEX,2050,155150.814
NZ,2050,5607.793
PNG,2050,14204.06
PE,2050,40373.987
RP,2050,144488.171
RUS,2050,135824.486
SIN,2050,6407.528
CT,2050,22412.979
THA,2050,65940.494
USA,2050,379419.097
VN,2050,109605.01
